City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Kharitonovo,RU,61.4009,47.4978,1.0,99,57,0.65,broken clouds
156,Awjilah,LY,29.1081,21.2869,68.47,26,100,10.51,overcast clouds
157,Pangnirtung,CA,66.1451,-65.7125,23.11,84,100,4.03,overcast clouds
158,Constitucion,CL,-35.3333,-72.4167,56.07,87,2,13.71,clear sky
159,Belaya Gora,RU,68.5333,146.4167,0.07,88,66,1.39,broken clouds
160,Mandalgovi,MN,45.7625,106.2708,36.97,33,15,13.6,few clouds
161,Shimoda,JP,34.6667,138.95,48.56,57,100,10.63,overcast clouds
162,Tasiilaq,GL,65.6145,-37.6368,32.16,91,100,7.81,overcast clouds
163,Cubara,CO,7.0008,-72.1085,77.45,68,100,4.32,overcast clouds
164,Cherskiy,RU,68.75,161.3,-10.17,85,100,2.73,overcast clouds
165,Mitsamiouli,KM,-11.3847,43.2844,79.95,78,24,2.46,light rain
166,Saint George,US,37.1041,-113.5841,75.79,20,0,6.91,clear sky
167,Laguna,US,38.421,-121.4238,77.29,27,0,3.44,clear sky
168,Longyearbyen,SJ,78.2186,15.6401,-2.36,65,20,8.05,few clouds
169,Chuy,UY,-33.6971,-53.4616,54.93,73,0,6.06,clear sky
170,Cabedelo,BR,-6.9811,-34.8339,79.88,74,93,10.92,overcast clouds
171,Inirida,CO,3.8653,-67.9239,77.27,81,71,1.86,broken clouds
172,Egvekinot,RU,66.3167,-179.1667,12.43,81,100,10.33,overcast clouds
173,Kondinskoye,RU,59.6481,67.41,6.1,98,42,5.23,scattered clouds
174,Marsh Harbour,BS,26.5412,-77.0636,76.68,86,100,10.98,overcast clouds
175,Kozhva,RU,65.1073,57.0459,3.31,99,79,4.92,broken clouds
176,Tateyama,JP,34.9833,139.8667,48.97,58,100,11.16,overcast clouds
177,Katsuura,JP,35.1333,140.3,48.69,57,100,10.83,overcast clouds
178,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,43,75,15.66,broken clouds
179,Toora-Khem,RU,52.4675,96.11,25.7,83,52,2.53,broken clouds
180,Jardim,BR,-21.4803,-56.1381,62.13,83,98,2.84,overcast clouds
181,Puquio,PE,-14.7,-74.1333,50.56,92,100,2.33,overcast clouds
182,Narrabri,AU,-30.3167,149.7833,71.53,56,0,3.0,clear sky
183,Iqaluit,CA,63.7506,-68.5145,23.7,100,100,1.99,overcast clouds
184,Camacha,PT,33.0833,-16.3333,58.42,88,40,5.75,scattered clouds
185,Bredasdorp,ZA,-34.5322,20.0403,63.84,66,98,12.35,overcast clouds
186,Mwinilunga,ZM,-11.7358,24.4293,59.88,97,6,3.0,clear sky
187,Union,US,40.6334,-74.2663,47.26,49,40,20.71,scattered clouds
188,Tuatapere,NZ,-46.1333,167.6833,60.8,59,1,5.44,clear sky
189,Katherine,AU,-14.4667,132.2667,86.32,39,9,9.22,clear sky
190,Tazovskiy,RU,67.4667,78.7,-0.6,100,87,7.54,overcast clouds
191,Salvador,SV,13.8333,-88.9167,75.6,69,24,2.93,few clouds
192,Bambous Virieux,MU,-20.3428,57.7575,76.21,92,100,19.82,heavy intensity rain
193,Curvelo,BR,-18.7564,-44.4308,73.17,65,89,6.31,overcast clouds
194,Ola,RU,59.5833,151.2833,23.14,59,100,8.46,overcast clouds
195,Lebu,CL,-37.6167,-73.65,55.98,93,3,14.65,clear sky
196,Praya,CV,14.9215,-23.5087,70.34,78,0,14.97,clear sky
197,Qui Nhon,VN,13.7667,109.2333,77.85,83,77,14.32,broken clouds
198,Zhezkazgan,KZ,47.8043,67.7144,35.76,69,0,5.95,clear sky
199,Cassia,BR,-20.5831,-46.9219,66.76,94,86,2.42,overcast clouds
200,Jurado,CO,7.1053,-77.7641,77.22,89,100,1.79,overcast clouds
201,San Patricio,US,28.017,-97.5169,72.18,75,6,12.64,clear sky
202,Prieska,ZA,-29.6641,22.7474,66.16,52,0,5.35,clear sky
203,Tura,IN,25.5198,90.2201,70.48,89,80,3.69,broken clouds
204,Waipawa,NZ,-41.4122,175.5153,64.74,71,100,2.8,overcast clouds
205,Guerande,FR,47.3291,-2.4283,36.82,69,8,13.56,clear sky
206,Chumikan,RU,54.7183,135.315,26.96,81,100,16.2,overcast clouds
207,Victoria,HK,22.2855,114.1577,61.25,80,100,11.01,moderate rain
208,Joensuu,FI,62.6012,29.7632,1.89,85,0,1.14,clear sky
209,Fukue,JP,32.6881,128.8419,52.59,54,100,18.9,overcast clouds
210,Alofi,NU,-19.0595,-169.9187,81.07,75,68,11.9,light rain
211,Ardakan,IR,32.31,54.0175,62.15,25,0,3.09,clear sky
212,Tiksi,RU,71.6872,128.8694,14.11,90,78,6.08,broken clouds
213,Griffith,US,41.5284,-87.4237,40.28,71,0,3.44,clear sky
214,Dryden,CA,49.7833,-92.7503,33.84,86,100,6.76,overcast clouds
215,Zaritap,AM,39.6363,45.5096,29.59,48,6,5.14,clear sky
216,Antofagasta,CL,-23.65,-70.4,61.92,85,37,2.37,scattered clouds
217,Linguere,SN,15.3953,-15.1193,77.05,21,0,12.26,clear sky
218,Lerwick,GB,60.1545,-1.1494,35.6,65,7,7.29,clear sky
219,Airai,TL,-8.9266,125.4092,71.46,49,8,2.13,clear sky
220,Kloulklubed,PW,7.0419,134.2556,82.33,78,72,11.36,broken clouds
221,Tual,ID,-5.6667,132.75,82.29,71,65,6.93,broken clouds
222,Amos,CA,48.5669,-78.1162,24.19,86,24,8.12,few clouds
223,Bathsheba,BB,13.2167,-59.5167,78.37,70,14,16.8,few clouds
224,Popondetta,PG,-8.7537,148.2534,83.35,68,100,1.83,moderate rain
225,Nara,JP,34.6851,135.8049,49.5,37,100,2.75,overcast clouds
226,Richards Bay,ZA,-28.783,32.0377,71.4,91,100,5.17,light rain
227,Hermanus,ZA,-34.4187,19.2345,61.81,73,92,14.88,overcast clouds
228,Mapiripan,CO,2.8892,-72.1256,77.04,80,56,3.22,broken clouds
229,Nome,US,64.5011,-165.4064,28.47,51,0,10.36,clear sky
230,Meulaboh,ID,4.1363,96.1285,78.67,84,100,3.0,overcast clouds
231,Sept-Iles,CA,50.2001,-66.3821,32.52,96,100,5.75,overcast clouds
232,Boyolangu,ID,-8.1181,111.8935,78.6,85,100,0.94,overcast clouds
233,Lavrentiya,RU,65.5833,-171.0,15.19,71,51,14.36,broken clouds
234,Markovo,RU,57.3206,107.0881,31.15,87,100,6.11,overcast clouds
235,Vao,NC,-22.6667,167.4833,79.84,88,100,16.2,overcast clouds
236,Emerald,AU,-23.5333,148.1667,81.34,57,3,11.72,clear sky
237,Lompoc,US,34.6391,-120.4579,67.12,81,40,9.22,scattered clouds
238,Urumqi,CN,43.801,87.6005,41.95,53,0,6.71,clear sky
239,Sorland,NO,67.667,12.6934,34.68,56,100,28.99,overcast clouds
240,Lasa,IT,46.6166,10.7002,34.7,96,100,5.26,light snow
241,Roma,US,43.2128,-75.4557,35.74,69,100,19.57,overcast clouds
242,Kiunga,PG,-6.1219,141.2906,83.21,68,100,2.77,overcast clouds
243,Rawson,AR,-43.3002,-65.1023,69.31,22,7,17.38,clear sky
244,Miri,MY,4.4148,114.0089,82.04,72,16,1.99,few clouds
245,Salta,AR,-24.7859,-65.4117,50.09,75,0,2.21,clear sky
246,Golden,US,39.7555,-105.2211,56.64,22,20,11.99,few clouds
247,Anloga,GH,5.7947,0.8973,82.27,82,100,16.22,overcast clouds
248,Svetlaya,RU,46.5389,138.3297,36.45,58,100,5.37,overcast clouds
249,Broken Hill,AU,-31.95,141.4333,64.06,37,0,15.17,clear sky
250,San Policarpo,PH,12.1791,125.5072,80.98,80,60,15.84,broken clouds
251,Itapirapua,BR,-15.8233,-50.6133,73.63,84,11,3.94,few clouds
252,Codrington,AU,-38.2667,141.9667,64.09,58,100,13.13,overcast clouds
253,Capaci,IT,38.1711,13.2393,55.0,65,40,19.57,scattered clouds
254,Wagar,SD,16.1525,36.2032,77.83,47,0,9.4,clear sky
255,Odienne,CI,9.51,-7.5692,80.65,61,98,6.46,light rain
256,Dafeng,CN,23.4517,108.5881,55.92,76,100,8.99,overcast clouds
257,Veraval,IN,20.9,70.3667,76.71,77,96,7.14,overcast clouds
258,Iwanai,JP,42.9744,140.5089,40.41,53,27,11.86,scattered clouds
259,Yining,CN,29.0361,114.5636,52.36,64,100,0.98,overcast clouds
260,Viseu,PT,40.661,-7.9097,42.73,59,0,8.57,clear sky
261,Belmonte,BR,-15.8631,-38.8828,77.65,81,7,6.02,clear sky
262,Sur,OM,22.5667,59.5289,81.5,36,0,4.88,clear sky
263,College,US,64.8569,-147.8028,25.07,31,4,1.99,clear sky
264,Pucallpa,PE,-8.3791,-74.5539,68.04,100,100,9.22,light intensity drizzle
265,Kruisfontein,ZA,-34.0033,24.7314,59.88,87,5,6.49,clear sky
266,Souillac,MU,-20.5167,57.5167,75.15,95,100,17.43,heavy intensity rain
267,Broome,US,42.2506,-75.833,36.7,71,100,14.97,overcast clouds
268,Nhulunbuy,AU,-12.2333,136.7667,88.41,62,98,8.05,overcast clouds
269,Belyy Yar,RU,53.6039,91.3903,31.89,69,0,2.24,clear sky
270,Labuhan,ID,-6.8844,112.2051,80.24,76,100,4.76,overcast clouds
271,Sangar,RU,63.9242,127.4739,17.53,92,100,15.79,light snow
272,Talcahuano,CL,-36.7167,-73.1167,56.88,88,0,11.5,clear sky
273,Dikson,RU,73.5069,80.5464,2.82,95,100,6.49,overcast clouds
274,Komsomolskiy,UZ,40.4272,71.7189,52.52,58,100,2.3,overcast clouds
275,Hvide Sande,DK,56.0045,8.1294,33.96,60,0,12.41,clear sky
276,Nikolskoye,RU,59.7035,30.7861,28.29,97,59,2.86,broken clouds
277,Yerbogachen,RU,61.2767,108.0108,14.94,85,6,12.75,clear sky
278,Tiarei,PF,-17.5333,-149.3333,80.62,76,93,8.05,light rain
279,Malampaka,TZ,-3.1333,33.5333,64.44,87,46,3.89,scattered clouds
280,Dharmadam,IN,11.7833,75.4333,78.21,90,59,3.31,broken clouds
281,Kaitangata,NZ,-46.2817,169.8464,63.32,53,0,9.35,clear sky
282,Garissa,KE,-0.4536,39.6401,79.38,77,97,11.59,overcast clouds
283,Acajutla,SV,13.5928,-89.8275,81.45,72,3,4.79,clear sky
284,Aktau,KZ,43.65,51.2,46.98,50,98,12.91,overcast clouds
285,Sorrento,IT,40.626,14.3744,48.65,92,100,5.99,overcast clouds
286,Golden Gate,US,26.1879,-81.6951,79.02,66,0,3.44,clear sky
287,Coquimbo,CL,-29.9533,-71.3436,56.93,88,100,2.3,overcast clouds
