City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Popondetta,PG,83.35,moderate rain,-8.7537,148.2534,Timos Transit House
228,Mapiripan,CO,77.04,broken clouds,2.8892,-72.1256,Monserrate
230,Meulaboh,ID,78.67,overcast clouds,4.1363,96.1285,Kost Pria
232,Boyolangu,ID,78.6,overcast clouds,-8.1181,111.8935,Yos ega cv
235,Vao,NC,79.84,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
236,Emerald,AU,81.34,clear sky,-23.5333,148.1667,The Irish Village
242,Kiunga,PG,83.21,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
244,Miri,MY,82.04,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
247,Anloga,GH,82.27,overcast clouds,5.7947,0.8973,Pin Drop Hotel
250,San Policarpo,PH,80.98,broken clouds,12.1791,125.5072,Agapita M. Nicart
255,Odienne,CI,80.65,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
257,Veraval,IN,76.71,overcast clouds,20.9,70.3667,Lords Inn Somnath
261,Belmonte,BR,77.65,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
262,Sur,OM,81.5,clear sky,22.5667,59.5289,Sur Plaza Hotel
266,Souillac,MU,75.15,heavy intensity rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
268,Nhulunbuy,AU,88.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
270,Labuhan,ID,80.24,overcast clouds,-6.8844,112.2051,DoubleFAG
278,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
280,Dharmadam,IN,78.21,broken clouds,11.7833,75.4333,Samudra Homes
282,Garissa,KE,79.38,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
283,Acajutla,SV,81.45,clear sky,13.5928,-89.8275,Laureles
286,Golden Gate,US,79.02,clear sky,26.1879,-81.6951,Quality Inn & Suites Golf Resort
289,Matara,LK,76.86,few clouds,5.9485,80.5353,Amaloh Boutique Resort
292,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
294,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
299,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
302,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
305,Takoradi,GH,76.69,overcast clouds,4.8845,-1.7554,Raybow International Hotel
307,Marigot,MF,78.58,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
308,Honiara,SB,83.19,overcast clouds,-9.4333,159.95,Heritage Park Hotel
312,Itarema,BR,75.79,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
313,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
316,Bowen,AU,82.96,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
321,Natal,BR,77.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
328,Sao Joao Da Barra,BR,75.76,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
329,Valle Hermoso,MX,75.09,overcast clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
332,Harper,LR,79.66,moderate rain,4.375,-7.7169,Screensaver
333,Trairi,BR,77.04,overcast clouds,-3.2778,-39.2689,janelas do mar
335,Lorengau,PG,77.76,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
338,Gizo,SB,80.19,light rain,-8.103,156.8419,Imagination Island
339,Touros,BR,79.99,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
348,Calabozo,VE,87.24,scattered clouds,8.9242,-67.4293,Hotel Giardini
350,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
355,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
360,West Bay,KY,80.67,clear sky,19.3667,-81.4167,Calypso Cove
361,Namatanai,PG,75.29,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
366,Bonthe,SL,78.75,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
371,Puerto Plata,DO,78.71,few clouds,19.7934,-70.6884,Be Live Collection Marien
374,Buala,SB,80.91,light rain,-8.145,159.5921,Maringe Lagoon Lodge
378,Sigli,ID,80.51,overcast clouds,5.3848,95.9609,Losmen Dua Mali
394,Umm Lajj,SA,76.91,clear sky,25.0213,37.2685,Moon light Furnished Units
396,Karratha,AU,84.65,broken clouds,-20.7377,116.8463,ibis Styles Karratha
399,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
401,Eydhafushi,MV,82.45,broken clouds,5.1033,73.0708,Soneva Fushi
408,Mecca,SA,75.27,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
409,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
414,Sabang,ID,83.77,overcast clouds,5.8933,95.3214,Hotel Citra
417,Alugan,PH,80.76,broken clouds,12.2188,125.4808,JM Lodge
433,Kavieng,PG,76.55,moderate rain,-2.5744,150.7967,Nusa Island Retreat
434,Bodden Town,KY,80.6,clear sky,19.2833,-81.25,Will T Place
440,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
442,Manadhoo,MV,82.65,clear sky,5.7667,73.3833,Bon Abri maldives
443,Ahuimanu,US,82.11,heavy intensity rain,21.4447,-157.8378,Paradise Bay Resort
445,Sungairaya,ID,84.25,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
451,President Roxas,PH,83.88,overcast clouds,7.1544,125.0558,Nochete's Boarding House
452,Sorong,ID,82.85,few clouds,-0.8833,131.25,Waigo Splash Hotel
454,Katsina,NG,80.91,scattered clouds,12.9894,7.6006,Katsina Motel
459,Pontianak,ID,78.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
462,Doka,SD,84.13,broken clouds,13.5167,35.7667,Um Rakuba Refugee Camp
468,Mersing,MY,81.16,few clouds,2.4312,103.8405,Timotel Hotel
469,Grand-Lahou,CI,80.2,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
476,Malindi,KE,79.95,clear sky,-3.2175,40.1191,African House Resort
479,Bahia Honda,CU,77.14,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
483,Cockburn Town,TC,77.77,clear sky,21.4612,-71.1419,Osprey Beach Hotel
487,Phangnga,TH,80.64,overcast clouds,8.4509,98.5298,Sunimit Mansion
504,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
506,Kati,ML,81.81,broken clouds,12.7441,-8.0726,Lingot d’or
510,Key Largo,US,79.0,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
512,Kingaroy,AU,76.87,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
520,Tanga,TZ,76.86,clear sky,-5.0667,39.1,Lulu Image Hotel
532,Tamandare,BR,78.24,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
534,Eyl,SO,77.4,few clouds,7.9803,49.8164,Amiin Hotel
540,Manga,BF,87.75,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
541,Puerto Carreno,CO,88.86,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
553,Axim,GH,77.92,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
554,Kapit,MY,81.81,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
559,Morondava,MG,75.34,clear sky,-20.2833,44.2833,La Case Bambou
560,Muisne,EC,77.0,broken clouds,0.6,-80.0333,Quinta Samay
566,Caravelas,BR,76.73,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
570,Mayumba,GA,76.78,overcast clouds,-3.432,10.6554,LIKWALE LODGE
574,Kribi,CM,75.94,overcast clouds,2.95,9.9167,La Grace Hôtel
580,Vila Velha,BR,78.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
582,Moerai,PF,80.58,broken clouds,-22.4333,-151.3333,Le Manotel
584,Bullhead City,US,88.93,clear sky,35.1478,-114.5683,Harrah's Laughlin
587,Kailua,US,82.38,heavy intensity rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
592,Harlingen,US,75.29,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
594,Bamako,ML,81.01,clear sky,12.65,-8.0,Hôtel l’Amitié Bamako
597,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
603,Mount Isa,AU,89.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
604,Wamba,NG,77.4,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
605,Vung Tau,VN,82.51,overcast clouds,10.346,107.0843,Seaside Resort
606,Isangel,VU,85.41,scattered clouds,-19.55,169.2667,Tanna Lodge
607,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
608,Gaoual,GN,79.3,clear sky,11.75,-13.2,Hotel koliba
610,Iralaya,HN,79.0,clear sky,15.0,-83.2333,Iglesia morava renovada
612,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
615,Singkang,MY,79.47,scattered clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
617,Bandarbeyla,SO,77.43,clear sky,9.4942,50.8122,JABIR HOTEL
621,Gibara,CU,79.92,few clouds,21.1097,-76.1317,Sol y Mar
622,Soyalo,MX,76.1,scattered clouds,16.9,-92.9167,Hotel Posada Casa Real
624,Sirpur,IN,80.46,clear sky,19.4833,79.6,Sathyamma Hotel
625,Mahajanga,MG,75.79,broken clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
627,Benguela,AO,75.67,light rain,-12.5763,13.4055,Hotel Praia Morena
629,Magdalena,PH,84.34,broken clouds,14.1999,121.429,Samparada & Gestiada Residences
652,Pakaur,IN,79.03,few clouds,24.6333,87.85,Jannisar Ansari
658,Cabangahan,PH,83.39,scattered clouds,9.0781,122.9469,Centralle District Beach Resort
665,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
682,Manta,EC,78.58,scattered clouds,-0.95,-80.7333,Balandra Hotel
685,Banamba,ML,84.94,overcast clouds,13.55,-7.45,Kassela de Banamba
